source_ref,target_ref,relation,confidence,note,element_text
AI.II.A.K1,afh,explanation,auto,from the Task A References line,"Symptoms, recognition, causes, effects, and corrective actions associated with aeromedical and physiological issues, including:"
AI.II.A.K1,aim:ch08-s01,guidance,verified,PHAK ch17 aeromedical factors and AIM 8-1 fitness for flight cover the whole list; Task A cites no CFR part,"Symptoms, recognition, causes, effects, and corrective actions associated with aeromedical and physiological issues, including:"
AI.II.A.K1,aviation-instructor,explanation,auto,from the Task A References line,"Symptoms, recognition, causes, effects, and corrective actions associated with aeromedical and physiological issues, including:"
AI.II.A.K1,phak:ch17,explanation,verified,PHAK ch17 aeromedical factors and AIM 8-1 fitness for flight cover the whole list; Task A cites no CFR part,"Symptoms, recognition, causes, effects, and corrective actions associated with aeromedical and physiological issues, including:"
AI.II.A.K1,risk-management,explanation,auto,from the Task A References line,"Symptoms, recognition, causes, effects, and corrective actions associated with aeromedical and physiological issues, including:"
AI.II.A.K1a,afh,explanation,auto,from the Task A References line,a. Hypoxia
AI.II.A.K1a,aim:ch08-s01,guidance,verified,"Hypoxia types, symptoms, and corrective action are in PHAK ch17 and AIM 8-1",a. Hypoxia
AI.II.A.K1a,aviation-instructor,explanation,auto,from the Task A References line,a. Hypoxia
AI.II.A.K1a,phak:ch17,explanation,verified,"Hypoxia types, symptoms, and corrective action are in PHAK ch17 and AIM 8-1",a. Hypoxia
AI.II.A.K1a,risk-management,explanation,auto,from the Task A References line,a. Hypoxia
AI.II.A.K1b,afh,explanation,auto,from the Task A References line,b. Hyperventilation
AI.II.A.K1b,aim:ch08-s01,guidance,verified,Hyperventilation is covered in PHAK ch17 and AIM 8-1,b. Hyperventilation
AI.II.A.K1b,aviation-instructor,explanation,auto,from the Task A References line,b. Hyperventilation
AI.II.A.K1b,phak:ch17,explanation,verified,Hyperventilation is covered in PHAK ch17 and AIM 8-1,b. Hyperventilation
AI.II.A.K1b,risk-management,explanation,auto,from the Task A References line,b. Hyperventilation
AI.II.A.K1c,afh,explanation,auto,from the Task A References line,c. Middle ear and sinus problems
AI.II.A.K1c,aim:ch08-s01,guidance,verified,Middle ear and sinus block are covered in PHAK ch17 and AIM 8-1,c. Middle ear and sinus problems
AI.II.A.K1c,aviation-instructor,explanation,auto,from the Task A References line,c. Middle ear and sinus problems
AI.II.A.K1c,phak:ch17,explanation,verified,Middle ear and sinus block are covered in PHAK ch17 and AIM 8-1,c. Middle ear and sinus problems
AI.II.A.K1c,risk-management,explanation,auto,from the Task A References line,c. Middle ear and sinus problems
AI.II.A.K1d,afh,explanation,auto,from the Task A References line,d. Spatial disorientation
AI.II.A.K1d,aim:ch08-s01,guidance,verified,Spatial disorientation and vestibular illusions are in PHAK ch17 and AIM 8-1,d. Spatial disorientation
AI.II.A.K1d,aviation-instructor,explanation,auto,from the Task A References line,d. Spatial disorientation
AI.II.A.K1d,phak:ch17,explanation,verified,Spatial disorientation and vestibular illusions are in PHAK ch17 and AIM 8-1,d. Spatial disorientation
AI.II.A.K1d,risk-management,explanation,auto,from the Task A References line,d. Spatial disorientation
AI.II.A.K1e,afh,explanation,auto,from the Task A References line,e. Motion sickness
AI.II.A.K1e,aim:ch08-s01,guidance,verified,Motion sickness is covered in PHAK ch17 and AIM 8-1,e. Motion sickness
AI.II.A.K1e,aviation-instructor,explanation,auto,from the Task A References line,e. Motion sickness
AI.II.A.K1e,phak:ch17,explanation,verified,Motion sickness is covered in PHAK ch17 and AIM 8-1,e. Motion sickness
AI.II.A.K1e,risk-management,explanation,auto,from the Task A References line,e. Motion sickness
AI.II.A.K1f,afh,explanation,auto,from the Task A References line,f. Carbon monoxide poisoning
AI.II.A.K1f,aim:ch08-s01,guidance,verified,Carbon monoxide poisoning is covered in PHAK ch17 and AIM 8-1,f. Carbon monoxide poisoning
AI.II.A.K1f,aviation-instructor,explanation,auto,from the Task A References line,f. Carbon monoxide poisoning
AI.II.A.K1f,phak:ch17,explanation,verified,Carbon monoxide poisoning is covered in PHAK ch17 and AIM 8-1,f. Carbon monoxide poisoning
AI.II.A.K1f,risk-management,explanation,auto,from the Task A References line,f. Carbon monoxide poisoning
AI.II.A.K1g,afh,explanation,auto,from the Task A References line,g. Stress
AI.II.A.K1g,aim,guidance,auto,from the Task A References line,g. Stress
AI.II.A.K1g,aviation-instructor,explanation,auto,from the Task A References line,g. Stress
AI.II.A.K1g,phak:ch17,explanation,verified,Stress as an aeromedical factor is in PHAK ch17; RMH ch3 treats it as a pilot hazard,g. Stress
AI.II.A.K1g,risk-management:ch03,explanation,verified,Stress as an aeromedical factor is in PHAK ch17; RMH ch3 treats it as a pilot hazard,g. Stress
AI.II.A.K1h,afh,explanation,auto,from the Task A References line,h. Fatigue
AI.II.A.K1h,aim:ch08-s01,guidance,verified,Fatigue is covered in PHAK ch17 and AIM 8-1,h. Fatigue
AI.II.A.K1h,aviation-instructor,explanation,auto,from the Task A References line,h. Fatigue
AI.II.A.K1h,phak:ch17,explanation,verified,Fatigue is covered in PHAK ch17 and AIM 8-1,h. Fatigue
AI.II.A.K1h,risk-management,explanation,auto,from the Task A References line,h. Fatigue
AI.II.A.K1i,afh,explanation,auto,from the Task A References line,i. Dehydration and nutrition
AI.II.A.K1i,aim:ch08-s01,guidance,verified,Dehydration and nutrition are covered in PHAK ch17 and AIM 8-1,i. Dehydration and nutrition
AI.II.A.K1i,aviation-instructor,explanation,auto,from the Task A References line,i. Dehydration and nutrition
AI.II.A.K1i,phak:ch17,explanation,verified,Dehydration and nutrition are covered in PHAK ch17 and AIM 8-1,i. Dehydration and nutrition
AI.II.A.K1i,risk-management,explanation,auto,from the Task A References line,i. Dehydration and nutrition
AI.II.A.K1j,afh,explanation,auto,from the Task A References line,j. Hypothermia
AI.II.A.K1j,aim,guidance,auto,from the Task A References line,j. Hypothermia
AI.II.A.K1j,aviation-instructor,explanation,auto,from the Task A References line,j. Hypothermia
AI.II.A.K1j,phak:ch17,explanation,verified,Hypothermia is treated among aeromedical factors in PHAK ch17,j. Hypothermia
AI.II.A.K1j,risk-management,explanation,auto,from the Task A References line,j. Hypothermia
AI.II.A.K1k,afh,explanation,auto,from the Task A References line,k. Optical illusions
AI.II.A.K1k,aim:ch08-s01,guidance,verified,Optical illusions are covered in PHAK ch17 and AIM 8-1,k. Optical illusions
AI.II.A.K1k,aviation-instructor,explanation,auto,from the Task A References line,k. Optical illusions
AI.II.A.K1k,phak:ch17,explanation,verified,Optical illusions are covered in PHAK ch17 and AIM 8-1,k. Optical illusions
AI.II.A.K1k,risk-management,explanation,auto,from the Task A References line,k. Optical illusions
AI.II.A.K1l,afh,explanation,auto,from the Task A References line,l. Dissolved nitrogen in the bloodstream after scuba dives
AI.II.A.K1l,aim:ch08-s01,guidance,verified,Decompression sickness after scuba diving is in PHAK ch17 and AIM 8-1,l. Dissolved nitrogen in the bloodstream after scuba dives
AI.II.A.K1l,aviation-instructor,explanation,auto,from the Task A References line,l. Dissolved nitrogen in the bloodstream after scuba dives
AI.II.A.K1l,phak:ch17,explanation,verified,Decompression sickness after scuba diving is in PHAK ch17 and AIM 8-1,l. Dissolved nitrogen in the bloodstream after scuba dives
AI.II.A.K1l,risk-management,explanation,auto,from the Task A References line,l. Dissolved nitrogen in the bloodstream after scuba dives
AI.II.A.K2,afh,explanation,auto,from the Task A References line,Regulations regarding use of alcohol and drugs.
AI.II.A.K2,aim:ch08-s01,guidance,verified,"Sections empty on purpose: Task A lists no CFR part, so 91.17 and 61.15 are out of scope here; PHAK ch17 and AIM 8-1 summarize the alcohol and drug rules",Regulations regarding use of alcohol and drugs.
AI.II.A.K2,aviation-instructor,explanation,auto,from the Task A References line,Regulations regarding use of alcohol and drugs.
AI.II.A.K2,phak:ch17,explanation,verified,"Sections empty on purpose: Task A lists no CFR part, so 91.17 and 61.15 are out of scope here; PHAK ch17 and AIM 8-1 summarize the alcohol and drug rules",Regulations regarding use of alcohol and drugs.
AI.II.A.K2,risk-management,explanation,auto,from the Task A References line,Regulations regarding use of alcohol and drugs.
AI.II.A.K3,afh,explanation,auto,from the Task A References line,"Effects of alcohol, drugs, and over-the-counter medications."
AI.II.A.K3,aim:ch08-s01,guidance,verified,"Effects of alcohol, drugs, and OTC medication are in PHAK ch17 and AIM 8-1","Effects of alcohol, drugs, and over-the-counter medications."
AI.II.A.K3,aviation-instructor,explanation,auto,from the Task A References line,"Effects of alcohol, drugs, and over-the-counter medications."
AI.II.A.K3,phak:ch17,explanation,verified,"Effects of alcohol, drugs, and OTC medication are in PHAK ch17 and AIM 8-1","Effects of alcohol, drugs, and over-the-counter medications."
AI.II.A.K3,risk-management,explanation,auto,from the Task A References line,"Effects of alcohol, drugs, and over-the-counter medications."
AI.II.A.K4,afh,explanation,auto,from the Task A References line,"Aeronautical Decision-Making (ADM) to include using Crew Resource Management (CRM) or Single- Pilot Resource Management (SRM), as appropriate."
AI.II.A.K4,aim,guidance,auto,from the Task A References line,"Aeronautical Decision-Making (ADM) to include using Crew Resource Management (CRM) or Single- Pilot Resource Management (SRM), as appropriate."
AI.II.A.K4,aviation-instructor:ch01,explanation,verified,"PHAK ch2 is ADM, RMH ch8 is ADM in flight, AIH ch1 covers SRM and CRM for instructors","Aeronautical Decision-Making (ADM) to include using Crew Resource Management (CRM) or Single- Pilot Resource Management (SRM), as appropriate."
AI.II.A.K4,phak:ch02,explanation,verified,"PHAK ch2 is ADM, RMH ch8 is ADM in flight, AIH ch1 covers SRM and CRM for instructors","Aeronautical Decision-Making (ADM) to include using Crew Resource Management (CRM) or Single- Pilot Resource Management (SRM), as appropriate."
AI.II.A.K4,risk-management:ch08,explanation,verified,"PHAK ch2 is ADM, RMH ch8 is ADM in flight, AIH ch1 covers SRM and CRM for instructors","Aeronautical Decision-Making (ADM) to include using Crew Resource Management (CRM) or Single- Pilot Resource Management (SRM), as appropriate."
AI.II.A.R1,afh,explanation,auto,from the Task A References line,Aeromedical and physiological issues.
AI.II.A.R1,aim:ch08-s01,guidance,verified,The aeromedical hazards themselves are in PHAK ch17 and AIM 8-1,Aeromedical and physiological issues.
AI.II.A.R1,aviation-instructor,explanation,auto,from the Task A References line,Aeromedical and physiological issues.
AI.II.A.R1,phak:ch17,explanation,verified,The aeromedical hazards themselves are in PHAK ch17 and AIM 8-1,Aeromedical and physiological issues.
AI.II.A.R1,risk-management,explanation,auto,from the Task A References line,Aeromedical and physiological issues.
