source_ref,target_ref,relation,confidence,note,element_text
PA.I.A.K1,14cfr:61.3,regulation,verified,"certificate requirement, logbook recordkeeping, flight review, and recent flight experience","Certification requirements, recent flight experience, and recordkeeping."
PA.I.A.K1,14cfr:61.51,regulation,verified,"certificate requirement, logbook recordkeeping, flight review, and recent flight experience","Certification requirements, recent flight experience, and recordkeeping."
PA.I.A.K1,14cfr:61.56,regulation,verified,"certificate requirement, logbook recordkeeping, flight review, and recent flight experience","Certification requirements, recent flight experience, and recordkeeping."
PA.I.A.K1,14cfr:61.57,regulation,verified,"certificate requirement, logbook recordkeeping, flight review, and recent flight experience","Certification requirements, recent flight experience, and recordkeeping."
PA.I.A.K1,afh,explanation,auto,from the Task A References line,"Certification requirements, recent flight experience, and recordkeeping."
PA.I.A.K1,phak:ch01,explanation,verified,"chapter 1 Introduction to Flying covers pilot certification, currency, and logbook recordkeeping","Certification requirements, recent flight experience, and recordkeeping."
PA.I.A.K1,risk-management,explanation,auto,from the Task A References line,"Certification requirements, recent flight experience, and recordkeeping."
PA.I.A.K2,14cfr:61.113,regulation,verified,private pilot privileges and limitations as PIC and as SIC,Privileges and limitations.
PA.I.A.K2,14cfr:61.117,regulation,verified,private pilot privileges and limitations as PIC and as SIC,Privileges and limitations.
PA.I.A.K2,afh,explanation,auto,from the Task A References line,Privileges and limitations.
PA.I.A.K2,phak:ch01,explanation,verified,chapter 1 describes certificate privileges and limitations by certificate level,Privileges and limitations.
PA.I.A.K2,risk-management,explanation,auto,from the Task A References line,Privileges and limitations.
PA.I.A.K3,14cfr:61.23,regulation,verified,"medical certificate class and duration, plus the prohibition on operating during a medical deficiency","Medical certificates: class, expiration, privileges, temporary disqualifications."
PA.I.A.K3,14cfr:61.53,regulation,verified,"medical certificate class and duration, plus the prohibition on operating during a medical deficiency","Medical certificates: class, expiration, privileges, temporary disqualifications."
PA.I.A.K3,afh,explanation,auto,from the Task A References line,"Medical certificates: class, expiration, privileges, temporary disqualifications."
PA.I.A.K3,phak:ch01,explanation,verified,"chapter 1 medical certification section covers classes, duration, and privileges","Medical certificates: class, expiration, privileges, temporary disqualifications."
PA.I.A.K3,risk-management,explanation,auto,from the Task A References line,"Medical certificates: class, expiration, privileges, temporary disqualifications."
PA.I.A.K4,14cfr:61.23,regulation,verified,61.3 lists the certificates that must be in personal possession; 61.23 covers the medical,Documents required to exercise private pilot privileges.
PA.I.A.K4,14cfr:61.3,regulation,verified,61.3 lists the certificates that must be in personal possession; 61.23 covers the medical,Documents required to exercise private pilot privileges.
PA.I.A.K4,afh,explanation,auto,from the Task A References line,Documents required to exercise private pilot privileges.
PA.I.A.K4,phak:ch01,explanation,verified,chapter 1 lists the personal documents a pilot must hold and carry,Documents required to exercise private pilot privileges.
PA.I.A.K4,risk-management,explanation,auto,from the Task A References line,Documents required to exercise private pilot privileges.
PA.I.A.K5,14cfr:61.113,regulation,verified,BasicMed privileges and limitations live in 61.113(i) and 61.23(c)(3); part 68 supplies the course and exam requirements,Part 68 BasicMed privileges and limitations.
PA.I.A.K5,14cfr:61.23,regulation,verified,BasicMed privileges and limitations live in 61.113(i) and 61.23(c)(3); part 68 supplies the course and exam requirements,Part 68 BasicMed privileges and limitations.
PA.I.A.K5,14cfr:68.3,regulation,verified,BasicMed privileges and limitations live in 61.113(i) and 61.23(c)(3); part 68 supplies the course and exam requirements,Part 68 BasicMed privileges and limitations.
PA.I.A.K5,14cfr:68.5,regulation,verified,BasicMed privileges and limitations live in 61.113(i) and 61.23(c)(3); part 68 supplies the course and exam requirements,Part 68 BasicMed privileges and limitations.
PA.I.A.K5,afh,explanation,auto,from the Task A References line,Part 68 BasicMed privileges and limitations.
PA.I.A.K5,phak:ch01,explanation,verified,chapter 1 medical certification discussion includes BasicMed under part 68,Part 68 BasicMed privileges and limitations.
PA.I.A.K5,risk-management,explanation,auto,from the Task A References line,Part 68 BasicMed privileges and limitations.
PA.I.A.R1,14cfr:61.56,regulation,verified,the two currency rules a pilot can satisfy without being proficient,Proficiency versus currency.
PA.I.A.R1,14cfr:61.57,regulation,verified,the two currency rules a pilot can satisfy without being proficient,Proficiency versus currency.
PA.I.A.R1,afh,explanation,auto,from the Task A References line,Proficiency versus currency.
PA.I.A.R1,phak,explanation,auto,from the Task A References line,Proficiency versus currency.
PA.I.A.R1,risk-management:ch02,explanation,verified,the personal minimums chapter separates legal currency from actual proficiency,Proficiency versus currency.
PA.I.A.R2,14cfr:61.31,regulation,verified,61.31 covers additional training and endorsements for unfamiliar aircraft; 91.103 requires familiarity with all available information for the flight,Flying unfamiliar aircraft or operating with unfamiliar flight display systems and avionics.
PA.I.A.R2,14cfr:91.103,regulation,verified,61.31 covers additional training and endorsements for unfamiliar aircraft; 91.103 requires familiarity with all available information for the flight,Flying unfamiliar aircraft or operating with unfamiliar flight display systems and avionics.
PA.I.A.R2,afh,explanation,auto,from the Task A References line,Flying unfamiliar aircraft or operating with unfamiliar flight display systems and avionics.
PA.I.A.R2,phak,explanation,auto,from the Task A References line,Flying unfamiliar aircraft or operating with unfamiliar flight display systems and avionics.
PA.I.A.R2,risk-management:ch02,explanation,verified,"personal minimums for unfamiliar aircraft, and the automation chapter for unfamiliar flight displays",Flying unfamiliar aircraft or operating with unfamiliar flight display systems and avionics.
PA.I.A.R2,risk-management:ch07,explanation,verified,"personal minimums for unfamiliar aircraft, and the automation chapter for unfamiliar flight displays",Flying unfamiliar aircraft or operating with unfamiliar flight display systems and avionics.
PA.I.A.S1,14cfr:61.23,regulation,verified,"the four gates on acting as PIC: certificate, medical, flight review, recency",Apply requirements to act as pilot-in-command (PIC) under Visual Flight Rules (VFR) in a scenario given by the evaluator.
PA.I.A.S1,14cfr:61.3,regulation,verified,"the four gates on acting as PIC: certificate, medical, flight review, recency",Apply requirements to act as pilot-in-command (PIC) under Visual Flight Rules (VFR) in a scenario given by the evaluator.
PA.I.A.S1,14cfr:61.56,regulation,verified,"the four gates on acting as PIC: certificate, medical, flight review, recency",Apply requirements to act as pilot-in-command (PIC) under Visual Flight Rules (VFR) in a scenario given by the evaluator.
PA.I.A.S1,14cfr:61.57,regulation,verified,"the four gates on acting as PIC: certificate, medical, flight review, recency",Apply requirements to act as pilot-in-command (PIC) under Visual Flight Rules (VFR) in a scenario given by the evaluator.
PA.I.A.S1,afh,explanation,auto,from the Task A References line,Apply requirements to act as pilot-in-command (PIC) under Visual Flight Rules (VFR) in a scenario given by the evaluator.
PA.I.A.S1,phak:ch01,explanation,verified,chapter 1 sets out the PIC qualification requirements the scenario applies,Apply requirements to act as pilot-in-command (PIC) under Visual Flight Rules (VFR) in a scenario given by the evaluator.
PA.I.A.S1,risk-management,explanation,auto,from the Task A References line,Apply requirements to act as pilot-in-command (PIC) under Visual Flight Rules (VFR) in a scenario given by the evaluator.
PA.I.B.K1,14cfr:91.203,regulation,verified,"airworthiness condition, required certificates aboard, owner/operator maintenance duty, and required inspections","General airworthiness requirements and compliance for airplanes, including:"
PA.I.B.K1,14cfr:91.403,regulation,verified,"airworthiness condition, required certificates aboard, owner/operator maintenance duty, and required inspections","General airworthiness requirements and compliance for airplanes, including:"
PA.I.B.K1,14cfr:91.409,regulation,verified,"airworthiness condition, required certificates aboard, owner/operator maintenance duty, and required inspections","General airworthiness requirements and compliance for airplanes, including:"
PA.I.B.K1,14cfr:91.7,regulation,verified,"airworthiness condition, required certificates aboard, owner/operator maintenance duty, and required inspections","General airworthiness requirements and compliance for airplanes, including:"
PA.I.B.K1,afh,explanation,auto,from the Task B References line,"General airworthiness requirements and compliance for airplanes, including:"
PA.I.B.K1,phak:ch09,explanation,verified,chapter 9 Flight Manuals and Other Documents is the airworthiness and aircraft records chapter,"General airworthiness requirements and compliance for airplanes, including:"
PA.I.B.K1,risk-management,explanation,auto,from the Task B References line,"General airworthiness requirements and compliance for airplanes, including:"
PA.I.B.K1a,14cfr:91.203,regulation,verified,"91.203 requires the airworthiness and registration certificates aboard and displayed; 91.9 covers the flight manual, markings, and placards",a. Location and expiration dates of required aircraft certificates
PA.I.B.K1a,14cfr:91.9,regulation,verified,"91.203 requires the airworthiness and registration certificates aboard and displayed; 91.9 covers the flight manual, markings, and placards",a. Location and expiration dates of required aircraft certificates
PA.I.B.K1a,afh,explanation,auto,from the Task B References line,a. Location and expiration dates of required aircraft certificates
PA.I.B.K1a,phak:ch09,explanation,verified,"chapter 9 covers required aircraft certificates, where they are displayed, and their duration",a. Location and expiration dates of required aircraft certificates
PA.I.B.K1a,risk-management,explanation,auto,from the Task B References line,a. Location and expiration dates of required aircraft certificates
PA.I.B.K1b,14cfr:43.11,regulation,verified,"inspection intervals, maintenance record retention, and the record content rules for maintenance and for part 91 inspections",b. Required inspections and airplane logbook documentation
PA.I.B.K1b,14cfr:43.9,regulation,verified,"inspection intervals, maintenance record retention, and the record content rules for maintenance and for part 91 inspections",b. Required inspections and airplane logbook documentation
PA.I.B.K1b,14cfr:91.409,regulation,verified,"inspection intervals, maintenance record retention, and the record content rules for maintenance and for part 91 inspections",b. Required inspections and airplane logbook documentation
PA.I.B.K1b,14cfr:91.417,regulation,verified,"inspection intervals, maintenance record retention, and the record content rules for maintenance and for part 91 inspections",b. Required inspections and airplane logbook documentation
PA.I.B.K1b,afh,explanation,auto,from the Task B References line,b. Required inspections and airplane logbook documentation
PA.I.B.K1b,phak:ch09,explanation,verified,"chapter 9 covers annual, 100-hour, and other required inspections and maintenance record entries",b. Required inspections and airplane logbook documentation
PA.I.B.K1b,risk-management,explanation,auto,from the Task B References line,b. Required inspections and airplane logbook documentation
PA.I.B.K1c,14cfr:91.403,regulation,verified,"91.403(a) is the operative prohibition on operating with an unmet AD; 91.417 requires the AD compliance record. Part 39 itself is not carried in this corpus, an",c. Airworthiness Directives and Special Airworthiness Information Bulletins
PA.I.B.K1c,14cfr:91.417,regulation,verified,"91.403(a) is the operative prohibition on operating with an unmet AD; 91.417 requires the AD compliance record. Part 39 itself is not carried in this corpus, an",c. Airworthiness Directives and Special Airworthiness Information Bulletins
PA.I.B.K1c,afh,explanation,auto,from the Task B References line,c. Airworthiness Directives and Special Airworthiness Information Bulletins
PA.I.B.K1c,phak:ch09,explanation,verified,chapter 9 covers airworthiness directives and compliance recordkeeping,c. Airworthiness Directives and Special Airworthiness Information Bulletins
PA.I.B.K1c,risk-management,explanation,auto,from the Task B References line,c. Airworthiness Directives and Special Airworthiness Information Bulletins
PA.I.B.K1d,14cfr:part-39,regulation,auto,from the Task B References line,d. Purpose and procedure for obtaining a special flight permit
PA.I.B.K1d,14cfr:part-43,regulation,auto,from the Task B References line,d. Purpose and procedure for obtaining a special flight permit
PA.I.B.K1d,14cfr:part-91,regulation,auto,from the Task B References line,d. Purpose and procedure for obtaining a special flight permit
PA.I.B.K1d,afh,explanation,auto,from the Task B References line,d. Purpose and procedure for obtaining a special flight permit
PA.I.B.K1d,phak:ch09,explanation,verified,chapter 9 covers special flight permits and how they are obtained,d. Purpose and procedure for obtaining a special flight permit
PA.I.B.K1d,risk-management,explanation,auto,from the Task B References line,d. Purpose and procedure for obtaining a special flight permit
PA.I.B.K1e,14cfr:91.3,regulation,verified,"PIC authority and responsibility, PIC duty to determine airworthiness, owner/operator primary responsibility for maintaining airworthiness",e. Owner/Operator and pilot-in-command responsibilities
PA.I.B.K1e,14cfr:91.403,regulation,verified,"PIC authority and responsibility, PIC duty to determine airworthiness, owner/operator primary responsibility for maintaining airworthiness",e. Owner/Operator and pilot-in-command responsibilities
PA.I.B.K1e,14cfr:91.7,regulation,verified,"PIC authority and responsibility, PIC duty to determine airworthiness, owner/operator primary responsibility for maintaining airworthiness",e. Owner/Operator and pilot-in-command responsibilities
PA.I.B.K1e,afh,explanation,auto,from the Task B References line,e. Owner/Operator and pilot-in-command responsibilities
PA.I.B.K1e,phak:ch09,explanation,verified,"chapter 9 assigns owner, operator, and PIC responsibility for airworthiness",e. Owner/Operator and pilot-in-command responsibilities
PA.I.B.K1e,risk-management,explanation,auto,from the Task B References line,e. Owner/Operator and pilot-in-command responsibilities
